text,label,lang,category
"Уйда ишлаш! Кунига 300 000 сўм даромад, фақат лайк босинг",1,uz,easy_money
"Посилкангиз омборда турибди. Иловани юклаб олинг: pochta-track.apk",1,uz,apk
"Сизга давлат томонидан компенсация ажратилди. Карта рақами ва амал қилиш муддатини юборинг",1,uz,gov
"Вы выиграли iPhone 17! Для получения приза перейдите по ссылке и оплатите доставку",1,ru,prize
"Служба безопасности банка. По вашей карте подозрительная операция, продиктуйте код из смс",1,ru,bank_impersonation
"Ваша карта заблокирована. Для разблокировки перейдите по ссылке bit.ly/unblock-uz",1,ru,blocked_account
"Здравствуйте, я оплатил ваш товар на OLX через безопасную сделку. Получить оплату по ссылке olx-dostavka.top",1,ru,marketplace
"Мама, это я, мой новый номер. Попал в аварию, срочно нужны деньги, никому не говори",1,ru,relative
"Пассивный доход от 500$ в неделю! Инвестиции в крипту, удвоим ваш депозит",1,ru,easy_money
"Работа на дому за лайки, заработок от 200 000 сум в день. Нужна предоплата за обучение",1,ru,easy_money
"Посмотрите фото с вечеринки, вы тут есть: photo_2026.apk",1,ru,apk
"Налоговый комитет: у вас задолженность. Оплатите штраф в течение 2 часов, иначе арест счета",1,ru,gov
"Вам начислена компенсация 1 500 000 сум. Укажите номер карты и срок действия",1,ru,gov
"Поздравляем! Вы стали победителем розыгрыша. Оплатите комиссию 30 000 сум для получения выигрыша",1,ru,advance_fee
"Установите приложение для отслеживания посылки: uzpost-track.site/app.apk",1,ru,apk
"Ваш аккаунт Telegram будет удалён. Отправьте код подтверждения, чтобы сохранить его",1,ru,blocked_account
"Сотрудник банка: мы переводим ваши средства на безопасный счёт, назовите код из СМС",1,ru,bank_impersonation
"Congratulations! You have won a $1000 gift card. Claim your prize now at gift-reward.click",1,en,prize
"Your bank account has been suspended due to suspicious activity. Verify immediately: secure-login-bank.xyz",1,en,blocked_account
"Hi mom, it's me, this is my new number. I'm in trouble and need money urgently, don't tell anyone",1,en,relative
"Earn $300 per day working from home! No experience needed. Pay a small registration fee to start",1,en,easy_money
"Your parcel is on hold. Pay the processing fee within 24 hours: delivery-uz.top",1,en,advance_fee
"We are from the bank security team. Please tell me the verification code we just sent you",1,en,bank_impersonation
"Invest in our crypto platform and double your money in 7 days, guaranteed returns",1,en,easy_money
"Download this app to receive your payment: pay-receive.site/app.apk",1,en,apk
"You are eligible for a government compensation. Send your card number and CVV to receive it",1,en,gov
"Last chance! Your reward expires today. Act now: tinyurl.com/claim-reward",1,en,prize
"Kartangizdan 45 000 so'm yechildi. Balans: 1 230 000 so'm. Kapitalbank",0,uz,bank_notification
"Sizning kartangizga 250 000 so'm tushdi. Click",0,uz,bank_notification
"Hech kimga kodni aytmang! Tasdiqlash kodi: 482913. Bank xodimlari hech qachon kod so'ramaydi",0,uz,bank_notification
"Salom, ertaga soat 10 da darsga kelasanmi?",0,uz,personal
"Assalomu alaykum, OLX dagi velosiped hali sotuvdami? Qachon ko'rsa bo'ladi?",0,uz,marketplace_legit
"Ona, bugun kechroq kelaman, ovqatni kutmanglar",0,uz,personal
"Uy vazifasini yubordim, tekshirib bering iltimos",0,uz,personal
"Juma kuni guruh yig'ilishi bo'ladi, hammani kutamiz",0,uz,personal
"Buyurtmangiz qabul qilindi. Yetkazib berish 2-3 kun ichida. Uzum Market",0,uz,service
"Kommunal to'lovni Payme orqali qildim, chekini yuboraymi?",0,uz,personal
"Dadajon, universitetdan stipendiya tushdi, kechqurun gaplashamiz",0,uz,personal
"Bugun havo sovuq, issiqroq kiyin",0,uz,personal
"Yangi semestr jadvali saytga joylandi, ko'rib chiqinglar",0,uz,service
"Do'kondan non va sut olib kel iltimos",0,uz,personal
"Loyiha bo'yicha taqdimotni shanba kuni tayyorlaymiz",0,uz,personal
"Hurmatli mijoz, 1-oktabrdan ofisimiz ish vaqti 9:00 dan 18:00 gacha",0,uz,service
"Kitobni qaytarib berdingmi? Kutubxonadan so'rashdi",0,uz,personal
"Siz buyurtma qilgan taksi 5 daqiqada yetib keladi",0,uz,service
"Futbolga boramizmi dam olish kuni?",0,uz,personal
"Imtihon natijalari my.edu.uz saytida e'lon qilindi",0,uz,service
"Салом, эртага учрашамизми? Соат нечада бўшсан?",0,uz,personal
"Картангиздан 30 000 сўм ечилди. Баланс: 500 000 сўм",0,uz,bank_notification
"Онажон, бугун кечроқ келаман, хавотир олманг",0,uz,personal
"Уй вазифасини топширдим, эртага кўришамиз",0,uz,personal
"Дўкондан нон олиб кел илтимос",0,uz,personal
"Привет, как дела? Давно не виделись",0,ru,personal
"Списание 45 000 сум. Баланс карты: 1 100 000 сум",0,ru,bank_notification
"Никому не сообщайте этот код: 551902. Сотрудники банка никогда его не спрашивают",0,ru,bank_notification
"Здравствуйте, диван на OLX ещё продаётся? Могу приехать посмотреть завтра",0,ru,marketplace_legit
"Мама, я задержусь на работе, ужинайте без меня",0,ru,personal
"Встреча переносится на пятницу, в 15:00",0,ru,personal
"Ваш заказ передан в доставку и будет у вас завтра",0,ru,service
"Скинь, пожалуйста, конспект лекции по математике",0,ru,personal
"Оплатил коммуналку через Click, всё прошло",0,ru,personal
"Сегодня тренировка отменяется из-за дождя",0,ru,personal
"Напоминаем о записи к врачу на завтра в 11:00",0,ru,service
"Поздравляю с днём рождения! Счастья и здоровья",0,ru,personal
"Hey, are we still meeting at the library at 5?",0,en,personal
"Your order has been shipped and will arrive on Friday",0,en,service
"Do not share this code with anyone: 774120. We will never ask for it",0,en,bank_notification
"Mom, I'll be home late tonight, don't wait for dinner",0,en,personal
"Can you send me the slides from today's lecture?",0,en,personal
"The deadline for the AI assignment is next Monday",0,en,personal
"Congratulations on passing your exam! Let's celebrate this weekend",0,en,personal
"Your payment of 120,000 UZS was successful. Thank you for using our service",0,en,service
"Is the bike you posted on OLX still available?",0,en,marketplace_legit
"Team meeting moved to 3pm, same room",0,en,personal
"Reminder: your library books are due tomorrow",0,en,service
"Happy birthday bro! Have a great one",0,en,personal
